Product ID,Quantity,Simple Name,Set Name,Card Number
610516,1,Umbreon ex,SV: Prismatic Evolutions,161/131
610511,1,Sylveon ex,SV: Prismatic Evolutions,156/131
610499,1,Leafeon ex,SV: Prismatic Evolutions,144/131
610510,1,Espeon ex,SV: Prismatic Evolutions,155/131
610505,1,Glaceon ex,SV: Prismatic Evolutions,150/131
610504,1,Vaporeon ex,SV: Prismatic Evolutions,149/131
610501,1,Flareon ex,SV: Prismatic Evolutions,146/131
610508,1,Jolteon ex,SV: Prismatic Evolutions,153/131
610522,1,Eevee ex,SV: Prismatic Evolutions,167/131
662184,1,Mega Charizard X ex,ME02: Phantasmal Flames,125/094
502556,1,Charmander,SV: Scarlet & Violet 151,168/165
517018,1,Charmeleon,SV: Scarlet & Violet 151,169/165
517045,1,Charizard ex,SV: Scarlet & Violet 151,199/165
662185,1,Mega Charizard X ex,ME02: Phantasmal Flames,130/094
535090,1,Charizard ex,SV: Paldean Fates,234/091
509980,1,Charizard ex,SV03: Obsidian Flames,223/197
534483,1,Charmander,SV: Paldean Fates,109/091
517017,1,Charizard ex,SV: Scarlet & Violet 151,183/165
654526,1,Mega Gardevoir ex,ME01: Mega Evolution,187/132
490071,1,Ralts,SV01: Scarlet & Violet Base Set,211/198
490072,1,Kirlia,SV01: Scarlet & Violet Base Set,212/198
693514,1,Mega Gallade ex,ME04: Chaos Rising,048/086
654517,1,Mega Gardevoir ex,ME01: Mega Evolution,178/132
535085,1,Gardevoir ex,SV: Paldean Fates,233/091
486623,1,Gardevoir ex,SV01: Scarlet & Violet Base Set,245/198
534650,1,Ralts,SV: Paldean Fates,153/091
535530,1,Gardevoir ex,SV: Paldean Fates,217/091
517046,1,Blastoise ex,SV: Scarlet & Violet 151,200/165
567429,1,Squirtle,SV07: Stellar Crown,148/142
517038,1,Wartortle,SV: Scarlet & Violet 151,171/165
502549,1,Squirtle,SV: Scarlet & Violet 151,170/165
517015,1,Blastoise ex,SV: Scarlet & Violet 151,184/165
567256,1,Blastoise ex,SV07: Stellar Crown,030/142
502551,1,Blastoise ex,SV: Scarlet & Violet 151,009/165
502550,1,Wartortle,SV: Scarlet & Violet 151,008/165
502548,1,Squirtle,SV: Scarlet & Violet 151,007/165
654516,1,Mega Venusaur ex,ME01: Mega Evolution,177/132
567418,1,Bulbasaur,SV07: Stellar Crown,143/142
516998,1,Ivysaur,SV: Scarlet & Violet 151,167/165
517044,1,Venusaur ex,SV: Scarlet & Violet 151,198/165
516997,1,Bulbasaur,SV: Scarlet & Violet 151,166/165
654472,1,Bulbasaur,ME01: Mega Evolution,133/132
654473,1,Ivysaur,ME01: Mega Evolution,134/132
517037,1,Venusaur ex,SV: Scarlet & Violet 151,182/165
654494,1,Mega Venusaur ex,ME01: Mega Evolution,155/132
509989,1,Charizard ex,SV03: Obsidian Flames,228/197
633041,1,Cynthia's Garchomp ex,SV10: Destined Rivals,241/182
509963,1,Charizard ex,SV03: Obsidian Flames,215/197
550242,1,Greninja ex,SV06: Twilight Masquerade,198/167
623615,1,Iono's Bellibolt ex,SV09: Journey Together,188/159
523941,1,Garchomp ex,SV04: Paradox Rift,260/182
517027,1,Mew ex,SV: Scarlet & Violet 151,193/165
535527,1,Mew ex,SV: Paldean Fates,216/091
590026,1,Pikachu ex,SV08: Surging Sparks,219/191
633039,1,Ethan's Ho-Oh ex,SV10: Destined Rivals,239/182
517051,1,Mew ex,SV: Scarlet & Violet 151,205/165
633013,1,Team Rocket's Mewtwo ex,SV10: Destined Rivals,213/182
676088,1,Pikachu ex,ME: Ascended Heroes,276/217
676089,1,Pikachu ex,ME: Ascended Heroes,277/217
590027,1,Pikachu ex,SV08: Surging Sparks,238/191
593169,1,Pikachu ex,SV08: Surging Sparks,247/191
513721,1,Pikachu,SV: Scarlet & Violet 151,173/165
534522,1,Pikachu,SV: Paldean Fates,131/091
676096,1,Mega Gengar ex,ME: Ascended Heroes,284/217
534919,1,Mew ex,SV: Paldean Fates,232/091
